"date","timestamp","tenant_id","org_id","unit_id","department_id","machine_id","edge_id","shift_id","batch_id","total_machine_runtime","machine_up_time","planned_production_time","machine_idle_time","actual_production_time","net_available_time","all_available_time","total_machine_downtime","total_planned_downtime","unplanned_downtime","target_parts","total_parts_produced","no_of_parts_rejected","total_production_per_batch","actual_cycletime","time_between_job_parts","parts_per_minute","availability_loss_time","cycletime_loss","capacity_utilized_percent","machine_performance_percent","machine_availability_percent","availability_loss_percent","asset_utilization_percent","planned_downtime_percent"
2023-12-04,1701694798000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2051000,2051000,3600000,5000,2056000,,,1544000,1544000,1544000,,411,,,5000.0,0,12,1549000,1000.0,45.666666666666664,80.15602145294977,56.97222222222222,43.02777777777778,57.111111111111114,0.0
2023-12-04,1701698394000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2047000,2047000,3600000,9000,2056000,,,1544000,1544000,1544000,,407,,,5039.5063,0,12,1553000,1039.5061728395058,45.22222222222222,79.53102100635076,56.86111111111111,43.138888888888886,57.111111111111114,0.0
2023-12-04,1701701997000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2051000,2051000,3600000,3000,2054000,,,1546000,1546000,1546000,,404,,,5092.04,0,12,1549000,1092.039800995025,44.888888888888886,78.7908337396392,56.97222222222222,43.02777777777778,57.05555555555556,0.0
2023-12-04,1701705599000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2053000,2053000,3600000,4000,2057000,,,1543000,1543000,1543000,,411,,,5000.0,0,12,1547000,1000.0,45.666666666666664,80.07793472966391,57.02777777777778,42.97222222222222,57.138888888888886,0.0
2023-12-04,1701707908000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2305000,2305000,3600000,3000,2308000,,,1292000,1292000,1292000,,457,,,5054.8247,0,12,1295000,1054.8245614035086,50.77777777777778,79.3058568329718,64.02777777777777,35.97222222222222,64.1111111388889,0.0
2023-12-04,1701711851000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2398000,2398000,3600000,253000,2651000,,,949000,949000,949000,,476,,,5037.8945,0,11,1202000,1037.894736842105,52.888888888888886,79.39949958298583,66.61111111111111,33.38888888888889,73.63888891666667,0.0
2023-12-04,1701715792000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2398000,2398000,3600000,0,2398000,,,1202000,1202000,1202000,,479,,,5000.0,0,12,1202000,1000.0,53.22222222222222,79.8999165971643,66.61111111111111,33.38888888888889,66.6111111388889,0.0
2023-12-04,1701719734000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2397000,2397000,3600000,266000,2663000,,,937000,937000,937000,,478,,,5012.5786,0,11,1203000,1012.5786163522016,53.111111111111114,79.76637463496037,66.58333333333334,33.416666666666664,73.97222222222223,0.0
2023-12-04,1701723596000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2318000,2318000,3600000,4000,2322000,,,1278000,1278000,1278000,,462,,,5006.536,0,12,1282000,1006.5359477124184,51.333333333333336,79.72389991371872,64.38888888888889,35.61111111111111,64.5,0.0
2023-12-04,1701727199000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2054000,2054000,3600000,2000,2056000,,,1544000,1544000,1544000,,412,,,4997.561,0,12,1546000,997.5609756097565,45.77777777777778,80.23369036027263,57.05555555555556,42.94444444444444,57.111111111111114,0.0
2023-12-04,1701730798000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2049000,2049000,3600000,7000,2056000,,,1544000,1544000,1544000,,411,,,5000.0,0,12,1551000,1000.0,45.666666666666664,80.23426061493412,56.91666666666667,43.083333333333336,57.111111111111114,0.0
2023-12-04,1701734398000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2050000,2050000,3600000,5000,2055000,,,1545000,1545000,1545000,,415,,,4953.995,0,12,1550000,953.9951573849876,46.111111111111114,80.97560975609757,56.94444444444444,43.05555555555556,57.083333333333336,0.0
2023-12-05,1701737999000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2051000,2051000,3600000,3000,2054000,,,1546000,1546000,1546000,,413,,,5000.0,0,12,1549000,1000.0,45.888888888888886,80.54607508532423,56.97222222222222,43.02777777777778,57.05555555555556,0.0
2023-12-05,1701741598000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2048000,2048000,3600000,6000,2054000,,,1546000,1546000,1546000,,414,,,4953.7715,0,12,1552000,953.7712895377126,46.0,80.859375,56.888888888888886,43.111111111111114,57.05555555555556,0.0
2023-12-05,1701745199000,15,42,43,45,humac_mac_001,E400099,First Shift,,2053000,2053000,3600000,3000,2056000,,,1544000,1544000,1544000,,406,,,5066.8315,0,12,1547000,1066.8316831683169,45.111111111111114,79.10375060886507,57.02777777777778,42.97222222222222,57.111111111111114,0.0
2023-12-05,1701747325000,15,42,43,45,humac_mac_001,E400099,First Shift,,2120000,2120000,3600000,5000,2125000,,,1475000,1475000,1475000,,427,,,4971.7646,0,12,1480000,971.7647058823532,47.44444444444444,80.56603773584906,58.88888888888889,41.11111111111111,59.02777780555556,0.0
2023-12-05,1701751267000,15,42,43,45,humac_mac_001,E400099,First Shift,,2397000,2397000,3600000,70000,2467000,,,1133000,1133000,1133000,,476,,,5037.8945,0,12,1203000,1037.894736842105,52.888888888888886,79.43262411347519,66.58333333333334,33.416666666666664,68.52777780555556,0.0
2023-12-05,1701755208000,15,42,43,45,humac_mac_001,E400099,First Shift,,2397000,2397000,3600000,0,2397000,,,1203000,1203000,1203000,,478,,,5012.5786,0,12,1203000,1012.5786163522016,53.111111111111114,79.76637463496037,66.58333333333334,33.416666666666664,66.58333336111112,0.0
2023-12-05,1701759149000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2397000,2397000,3600000,0,2397000,,,1203000,1203000,1203000,,479,,,5000.0,0,12,1203000,1000.0,53.22222222222222,79.93324989570296,66.58333333333334,33.416666666666664,66.58333336111112,0.0
2023-12-05,1701763089000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2395000,2395000,3600000,111000,2506000,,,1094000,1094000,1094000,,473,,,5063.559,0,11,1205000,1063.5593220338988,52.55555555555556,78.99791231732777,66.52777777777777,33.47222222222222,69.61111111111111,0.0
2023-12-05,1701766798000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2165000,2165000,3600000,2000,2167000,,,1433000,1433000,1433000,,431,,,5025.5815,0,12,1435000,1025.5813953488368,47.888888888888886,79.63048498845265,60.138888888888886,39.861111111111114,60.19444444444444,0.0
2023-12-05,1701770399000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2054000,2054000,3600000,3000,2057000,,,1543000,1543000,1543000,,410,,,5000.0,0,12,1546000,1000.0,45.55555555555556,79.8442064264849,57.05555555555556,42.94444444444444,57.138888888888886,0.0
2023-12-05,1701773998000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2050000,2050000,3600000,6000,2056000,,,1544000,1544000,1544000,,411,,,5002.445,0,12,1550000,1002.4449877750612,45.666666666666664,80.19512195121952,56.94444444444444,43.05555555555556,57.111111111111114,0.0
2023-12-05,1701777598000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2051000,2051000,3600000,5000,2056000,,,1544000,1544000,1544000,,404,,,5089.5522,0,12,1549000,1089.5522388059699,44.888888888888886,78.7908337396392,56.97222222222222,43.02777777777778,57.111111111111114,0.0
2023-12-05,1701781196000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2050000,2050000,3600000,6000,2056000,,,1544000,1544000,1544000,,411,,,5000.0,0,12,1550000,1000.0,45.666666666666664,80.19512195121952,56.94444444444444,43.05555555555556,57.111111111111114,0.0
2023-12-05,1701784797000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2051000,2051000,3600000,4000,2055000,,,1545000,1545000,1545000,,407,,,5051.852,0,12,1549000,1051.8518518518522,45.22222222222222,79.37591418820088,56.97222222222222,43.02777777777778,57.083333333333336,0.0
2023-12-05,1701788396000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2050000,2050000,3600000,6000,2056000,,,1544000,1544000,1544000,,406,,,5064.3564,0,12,1550000,1064.3564356435645,45.111111111111114,79.21951219512195,56.94444444444444,43.05555555555556,57.111111111111114,0.0
2023-12-05,1701790682000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2281000,2281000,3600000,1000,2282000,,,1318000,1318000,1318000,,458,,,4991.247,0,12,1319000,991.2472647702407,50.888888888888886,80.3156510302499,63.361111111111114,36.638888888888886,63.38888891666667,0.0
2023-12-05,1701794622000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2396000,2396000,3600000,226000,2622000,,,978000,978000,978000,,476,,,5031.579,0,11,1204000,1031.5789473684208,52.888888888888886,79.46577629382304,66.55555555555556,33.44444444444444,72.83333336111112,0.0
2023-12-05,1701798564000,15,42,43,45,humac_mac_001,E400099,Shift_2,,2397000,2397000,3600000,0,2397000,,,1203000,1203000,1203000,,473,,,5065.6777,0,12,1203000,1065.6779661016953,52.55555555555556,78.93199833124739,66.58333333333334,33.416666666666664,66.58333336111112,0.0
2023-12-05,1701802504000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2396000,2396000,3600000,296000,2692000,,,908000,908000,908000,,476,,,5035.7896,0,11,1204000,1035.7894736842109,52.888888888888886,79.46577629382304,66.55555555555556,33.44444444444444,74.77777777777777,0.0
2023-12-05,1701806398000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2350000,2350000,3600000,2000,2352000,,,1248000,1248000,1248000,,474,,,4955.5083,0,12,1250000,955.5084745762715,52.666666666666664,80.68085106382978,65.27777777777779,34.72222222222222,65.33333333333333,0.0
2023-12-05,1701809999000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2052000,2052000,3600000,5000,2057000,,,1543000,1543000,1543000,,413,,,4980.535,0,12,1548000,980.5352798053527,45.888888888888886,80.50682261208577,56.99999999999999,43.0,57.138888888888886,0.0
2023-12-05,1701813596000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2050000,2050000,3600000,7000,2057000,,,1543000,1543000,1543000,,408,,,5034.483,0,12,1550000,1034.4827586206893,45.333333333333336,79.60975609756098,56.94444444444444,43.05555555555556,57.138888888888886,0.0
2023-12-05,1701817199000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2052000,2052000,3600000,2000,2054000,,,1546000,1546000,1546000,,409,,,5029.484,0,12,1548000,1029.4840294840296,45.44444444444444,79.72709551656921,56.99999999999999,43.0,57.05555555555556,0.0
2023-12-05,1701820796000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2049000,2049000,3600000,8000,2057000,,,1543000,1543000,1543000,,406,,,5061.8813,0,12,1551000,1061.8811881188121,45.111111111111114,79.2581747193753,56.91666666666667,43.083333333333336,57.138888888888886,0.0
2023-12-05,1701763195415,18,51,52,53,NAC_012,E400022,First Shift,,676485,676485,3600000,502924,1179409,,,2420591,2420591,2420591,,10,,,8660.333,63801,1,2923515,4660.333333333334,0.37037037037037035,5.912917507409625,18.79125,81.20875,32.761361111111114,0.0
2023-12-05,1701763256027,18,51,52,53,NAC_012,E400022,First Shift,,53130,53130,3600000,2897,56027,,,3543973,3543973,3543973,,1,,,,53130,1,3546870,,0.037037037037037035,7.528703180877095,1.4758333333333333,98.52416666666667,1.556305583333325,0.0
2023-12-05,1701814083582,18,51,52,53,NAC_012,E400022,Third Shift,,7438,7438,0,0,7438,,,3592562,-7438,-7438,,0,,,,0,0,-7438,,0.0,0.0,0.0,0.0,0.20661113888889343,100.20703890432706
2023-12-05,1701755998051,18,51,52,53,NAC_021,E400023,First Shift,,806507,806507,3600000,1949,808456,,,2791544,2791544,2791544,,23,,,5239.7896,24304,2,2793493,1239.7894736842109,0.8518518518518519,11.407216552367183,22.40297222222222,77.59702777777778,22.45711111111111,0.0
2023-12-05,1701758448948,18,51,52,53,NAC_021,E400023,First Shift,,2438699,2438699,3600000,10249,2448948,,,1151052,1151052,1151052,,71,,,7149.3906,24800,2,1161301,3149.390625,2.6296296296296298,11.64555363331022,67.74163888888889,32.258361111111114,68.02633336111111,0.0
2023-12-05,1701766792127,18,51,52,53,NAC_021,E400023,First Shift,,117021,117021,3600000,7873,124894,,,3475106,3475106,3475106,,1,,,53048.0,0,0,3482979,49048.0,0.037037037037037035,3.4181898975397575,3.250583333333333,96.74941666666666,3.4692777777777777,0.0
2023-12-05,1701768534021,18,51,52,53,NAC_021,E400023,First Shift,,1631638,1631638,3600000,102383,1734021,,,1865979,1865979,1865979,,28,,,11113.625,37164,1,1968362,7113.625,1.037037037037037,6.864267686827592,45.323277777777776,54.67672222222222,48.16725002777778,0.0
